Table 1
,Name,Donation_Amount,,,,
,"Ayotte, Kelly (R-NH)","$5,000",,,,
,"Blunt, Roy (R-MO)","$5,000",,,,
,"Burr, Richard (R-NC)","$5,000",,,,
,"Cornyn, John (R-TX)","($2,000)",,,,
,"Hatch, Orrin G (R-UT)","$5,000",,,,
,"Heck, Joe (R-NV)","$5,000",,,,
,"Hoeven, John (R-ND)","$2,500",,,,
,"Isakson, Johnny (R-GA)","$5,000",,,,
,"Johnson, Ron (R-WI)","$7,500",,,,
,"Lee, Mike (R-UT)","$10,000",,,,
,"Lopez-Cantera, Carlos (R-FL)","$10,000",,,,
,"Mandel, Josh (R-OH)","$2,500",,,,
,"McCain, John (R-AZ)","$1,500",,,,
,"Murray, Patty (D-WA)","$5,000",,,,
,"Portman, Rob (R-OH)","$5,000",,,,
,"Rubio, Marco (R-FL)","$5,000",,,,
,"Schatz, Brian (D-HI)","$5,000",,,,
,"Scott, Tim (R-SC)","$10,000",,,,
,"Shaheen, Jeanne (D-NH)","$5,000",,,,
,"Shelby, Richard C (R-AL)","$2,000",,,,
,"Tester, Jon (D-MT)","$5,000",,,,
,"Toomey, Pat (R-PA)","$9,755",,,,
