Table 1
,Name,Donation_Amount,,,,
,"Bacon, Donald John (R-NE)","$5,000",,,,
,"Barton, Joe (R-TX)","$2,500",,,,
,"Bergman, John (R-MI)","$5,000",,,,
,"Bishop, Mike (R-MI)","$6,000",,,,
,"Blum, Rod (R-IA)","$5,000",,,,
,"Brady, Kevin (R-TX)","$5,000",,,,
,"Carter, John (R-TX)","$2,500",,,,
,"Comstock, Barbara (R-VA)","$5,000",,,,
,"Cuellar, Henry (D-TX)","$9,690",,,,
,"Culberson, John (R-TX)","$5,000",,,,
,"Curbelo, Carlos (R-FL)","$10,000",,,,
,"Denham, Jeff (R-CA)","$5,000",,,,
,"Dold, Bob (R-IL)","$5,000",,,,
,"Goodlatte, Bob (R-VA)","$2,500",,,,
,"Gowdy, Trey (R-SC)","$1,000",,,,
,"Grabelle, Justin (R-FL)","$5,000",,,,
,"Hardy, Cresent (R-NV)","$5,000",,,,
,"Hurd, Will (R-TX)","$5,000",,,,
,"Issa, Darrell (R-CA)","$5,000",,,,
,"Jones, Scott (R-CA)","$5,000",,,,
,"Katko, John (R-NY)","$5,000",,,,
,"Kennedy, Joe III (D-MA)",$0,,,,
,"Knight, Steve (R-CA)","$5,000",,,,
,"Kozell, Rick (R-FL)",$0,,,,
,"McCaul, Michael (R-TX)","$5,000",,,,
,"Mooney, Patrick (R-FL)","$4,150",,,,
,"Negron, Rebecca (R-FL)","$5,000",,,,
,"Reichert, Dave (R-WA)","$2,500",,,,
,"Roybal-Allard, Lucille (D-CA)","$1,250",,,,
,"Russell, Steven (R-OK)","$5,000",,,,
,"Rutherford, John (R-FL)","$2,500",,,,
,"Smith, Adrian (R-NE)","$2,500",,,,
,"Tarkanian, Danny (R-NV)","$5,000",,,,
,"Tenney, Claudia (R-NY)","$5,000",,,,
,"Thompson, Bennie G (D-MS)","$5,000",,,,
,"Tipton, Scott (R-CO)","$7,500",,,,
,"Valadao, David (R-CA)","$5,000",,,,
,"Walberg, Tim (R-MI)","$5,000",,,,
,"Yoder, Kevin (R-KS)","$5,000",,,,
