Table 1
Name,Donation_Amount,,,,,
"Aderholt, Robert B (R-AL)","$2,500.00",,,,,
"Babeu, Paul (R-AZ)","$1,000.00",,,,,
"Bishop, Sanford (D-GA)","$2,500.00",,,,,
"Black, Diane (R-TN)","$6,000.00",,,,,
"Blackburn, Marsha (R-TN)","$4,500.00",,,,,
"Boehner, John (R-OH)","($5,000.00)",,,,,
"Carter, John (R-TX)","$5,000.00",,,,,
"Conaway, Mike (R-TX)","$2,500.00",,,,,
"Crenshaw, Ander (R-FL)","$5,000.00",,,,,
"Cuellar, Henry (D-TX)","$4,000.00",,,,,
"Culberson, John (R-TX)","$11,500.00",,,,,
"Desjarlais, Scott (R-TN)","$2,000.00",,,,,
"Fleischmann, Chuck (R-TN)","$9,200.00",,,,,
"Frelinghuysen, Rodney (R-NJ)","$5,000.00",,,,,
"Goodlatte, Bob (R-VA)","$1,000.00",,,,,
"Graves, Tom (R-GA)","$1,500.00",,,,,
"Harper, Gregg (R-MS)","$4,000.00",,,,,
"Hudson, Richard (R-NC)","$1,000.00",,,,,
"Hurd, Will (R-TX)","$7,500.00",,,,,
"Jolly, David (R-FL)","$2,500.00",,,,,
"Joyce, David P (R-OH)","$2,000.00",,,,,
"Kelly, Mike (R-PA)","$2,000.00",,,,,
"Kustoff, David (R-TN)","$1,000.00",,,,,
"McCarthy, Kevin (R-CA)","$2,500.00",,,,,
"McCaul, Michael (R-TX)","$3,000.00",,,,,
"Roby, Martha (R-AL)","$2,500.00",,,,,
"Ryan, Tim (D-OH)","$4,500.00",,,,,
"Smith, Lamar (R-TX)","$1,500.00",,,,,
"Tiberi, Pat (R-OH)","$1,000.00",,,,,
"Valadao, David (R-CA)","$1,000.00",,,,,
"Vela, Filemon (D-TX)",$0.00,,,,,
